Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Georgia,Illinois,NorthCarolina,SouthCarolina
47,"Insulation Workers, Mechanical",3,2.5,1.62,2.25,2.88,3.12,2.12,1.75,3.12,3.12,2.62,2.12,3.12,2.75,3.12,2.88,2.75,2.38,1,1,1,1,1,1,2,51640,96440,50820,59500
47,"Loading and Moving Machine Operators, Underground Mining",2.88,2.5,1.62,2.12,2.88,3.25,2,2,3,3,3.12,3.38,3.12,2.75,2.75,3,2.75,2.12,1,1,1,1,1,1,3,53050,76390, , 
47,Operating Engineers and Other Construction Equipment Operators,3,2.12,1.75,2.25,3,3.12,2.12,2.12,3.12,3,3.12,3.38,3,2.12,3,3.12,2.88,2.25,1,1,1,1,1,1,3,47210,90370,51320,48670
47,"Painters, Construction and Maintenance",3,2.62,1.12,2.12,2.88,3.12,2.12,1.5,3.12,3,2,2.12,2.88,3,3,2.75,3,2.25,1,1,1,1,1,1,2,48050,69290,46160,43790
47,Paperhangers,2.88,2.38,1.12,1.88,2.88,3.62,1.88,1.62,3,2.88,2.62,1.62,2.75,2.75,2.62,2.88,2.5,2.25,1,1,1,1,1,1,2, , ,37040, 
47,"Paving, Surfacing, and Tamping Equipment Operators",3,2.38,1.88,1.75,2.75,3,2,2,3,3,2.75,3.25,3,2.75,3.12,3,2.38,1.88,1,1,1,1,1,1,3,46520,72030,48460,45080
47,Pile Driver Operators,3.12,2.75,1.5,2,3,3.62,2.12,1.88,3,3,2.88,3.88,3.25,2.25,2.75,3.12,2.25,2,1,1,1,1,1,1,3,51150, ,48070,54770
47,Pipelayers,3,2.38,2,2.25,2.88,3.12,2.12,2,3.62,3.25,2.75,3.12,3,2.88,3.12,3,3,2.62,1,1,1,1,1,1,3,46290,48940,45750,45160
47,Plasterers and Stucco Masons,2.88,3.12,1.88,2.62,2.75,3.62,2.12,2,3,3.12,2.62,2.75,2.88,3.12,3.25,3.12,2.75,2.5,1,1,1,1,1,1,2,45410,82540, ,83000
47,"Plumbers, Pipefitters, and Steamfitters",3.5,3,2.5,2.62,3.38,3.5,2.5,2.25,3.25,3.12,3,2.75,3.12,2.75,3,3.25,3,2.62,1,2,1,1,1,1,3,59470,89180,54120,55390
47,Rail-Track Laying and Maintenance Equipment Operators,3.12,3.12,2,2.5,3,3.75,2.12,2,3.12,3,3.25,3.62,3.12,3,3.25,3.38,2.88,2.5,1,2,1,1,1,1,3,64520,80130,50640, 
47,Reinforcing Iron and Rebar Workers,3,3.12,2.25,2.38,2.88,3.62,2.12,2,2.88,2.88,2.62,3.25,2.75,3.38,3.88,3,2.5,1.88,1,1,1,1,1,1,2,59070,104210,52360,51160
47,"Rock Splitters, Quarry",2.88,3,1.25,1.88,2.75,3.25,1.88,2,3,2.88,2.75,2.88,2.88,3.12,3.5,3,2.38,2.12,1,1,1,1,1,1,3,51700,61060,58120, 
47,"Roof Bolters, Mining",3,2.88,2.12,2.25,2.88,3.88,2,2.12,3,3,2.75,3.75,3.5,3.12,3.62,3,2.62,2.12,1,2,1,1,1,1,3, , , , 
47,Roofers,3,2.5,2.25,2.25,3,3.5,2,2,3.38,3,2.88,2.88,3,3.25,3.12,3,2.62,2.12,1,2,1,1,1,1,2,46920,70890,49870,50140
47,"Rotary Drill Operators, Oil and Gas",3.38,2.5,1.13,2.5,3.38,3.75,2.5,2.25,3.63,3.63,3.13,3.13,3.38,2.38,2.88,3,3.13,3.25,2,2,2,2,1,1,3, , ,48320,54500
47,"Roustabouts, Oil and Gas",3,2.5,2,2,2.75,3.75,2,2,3.12,3,2.88,3,3,3.12,3.25,3,2.25,2,1,2,1,1,1,1,3, ,45080, , 
47,Segmental Pavers,3.12,2.75,1.12,2.62,3.12,3.38,2.12,2,3.62,3.62,2.75,3,2.88,2.5,3.25,3,3,3,1,2,2,2,2,1,3, , , , 
47,Septic Tank Servicers and Sewer Pipe Cleaners,3.12,2.88,1.88,2.5,3,3.75,2.12,2.38,3.5,3.12,3,3.25,3,2.62,3.12,3,2.75,2.5,1,2,1,1,1,1,3,46650,55240,48990,43200
47,"Service Unit Operators, Oil and Gas",3.12,2.75,1.25,2.62,3.25,3.38,2.88,2.38,3.38,3.25,3.38,3.5,3.38,2.75,3.12,3.12,3,3,2,2,2,2,1,1,3, ,49690, , 
47,Sheet Metal Workers,3.12,2.5,2,2.5,3,3.38,3,2.12,3.12,3.12,3,3,3.25,2.88,3.12,3.62,3.12,2.5,1,2,1,1,1,1,3,55910,84990,54530,47100
47,Solar Energy Installation Managers,3.62,2,1.75,2.88,3.38,3,2.75,2.38,3.88,4,2.88,2.25,3,2.12,2.38,3.25,3.88,3.38,2,2,3,3,2,2,3,78290,97350,74500,76510
47,Solar Photovoltaic Installers,3.25,2.5,1.62,2.38,3,3.25,2.38,2,3.25,3.12,3.12,2.12,3,2.62,3.12,3.62,2.88,2.75,1,2,1,2,1,1,3, ,51380,47920,52740
47,Solar Thermal Installers and Technicians,3,2.75,2.38,2.88,3,3,2.62,2.5,3.62,3.38,2.88,2.5,3.25,2.5,2.88,3.12,3.38,3,1,2,2,2,1,2,3,59470,89180,54120,55390
47,Stonemasons,3,3.13,1.63,2.63,3.13,3.5,2.38,2.38,3.25,3.25,2.5,2.63,3,3.5,3.75,3.25,2.75,2.75,2,2,2,2,2,2,3,42350, ,40530, 
47,Structural Iron and Steel Workers,3.12,3.62,2.12,2.88,2.88,4,2.25,2,3.25,3.12,3,3.5,3.75,3.5,4.12,4,3,2.25,1,2,1,1,1,1,3,55630,96670,54810,50910
47,Tapers,2.75,2,1.88,2.12,2.75,3.12,1.5,2,3,2.88,2.12,2.12,2.62,2.75,2.38,2.38,2.5,2,1,1,1,1,1,1,2, ,103840, , 
47,Terrazzo Workers and Finishers,2.88,3,2.25,2.5,2.62,3.75,2,2,2.88,2.75,2.88,2.88,3,3.12,3.12,3.12,2.12,1.88,1,1,1,1,1,1,2, ,88580, , 
47,Tile and Stone Setters,3,2.5,1.38,2.62,3,3.12,2.75,2.12,3.12,3,2.75,2.5,2.88,3.12,3.12,3.75,2.88,2.5,1,1,1,1,1,1,2,52160,60530,47010,51000
47,Weatherization Installers and Technicians,3,2.5,1.75,3,3,3.75,2.75,2.12,3.25,3.25,2.88,3,3,2.5,2.88,3.12,2.88,2.75,1,2,2,2,1,1,3, , , , 
